0	25.7423	21.296
1000	6.96111	5.82129
2000	6.89154	5.76932
3000	6.91798	5.76932
4000	6.80157	5.76932
5000	6.98814	5.76932
6000	6.86591	5.76932
7000	6.98272	5.76932
8000	6.79946	5.76932
9000	7.09209	5.76932
10000	6.9682	5.76932
11000	6.88822	5.76932
12000	6.87768	5.76932
13000	6.93843	5.76932
14000	6.82413	5.76932
15000	6.84437	5.76932
16000	6.92558	5.76932
17000	7.02739	5.76932
18000	7.00239	5.76932
19000	6.96674	5.76932
20000	7.07845	5.76932
21000	7.055	5.76932
22000	6.9132	5.76932
23000	6.97506	5.76932
24000	6.96612	5.76932
25000	6.85835	5.76932
26000	6.8997	5.76932
27000	6.82622	5.76932
28000	7.06083	5.76932
29000	6.99273	5.76932
30000	6.93714	5.76932
31000	6.86453	5.76932
31658	6.97606	5.76932
